Number,State,IDState,Actorkey,ActorkeyState,Análisis_suelo_18,Análisis_foliar_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Composta_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desvare_18,Feromonas_18,Fertilización_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Tratamiento_semillas_18,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Cli18,Rad18,Cli17,Int17,Rad17,Rend17,Auto17,Edad18,Sup18,Rend18,Esc18,Auto18,Int18,CRend,Crad,CCli,CAuto,Cint
394,Chiapas,CHP,ER1178,CHPER1178,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.3,100,64,1,1.2,1,100,0,0.9,0.021,0,0,0
395,Chiapas,CHP,ER1179,CHPER1179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.5,100,79,1,0.7,6,100,0,0.2,0.021,0,0,0
396,Chiapas,CHP,ER118,CHPER118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,7.692307692,13.73626374,1,1,0.063,1,0,0.023,3,30,47,3,1.5,6,35,0,-1.5,0.04,0,5,0
397,Chiapas,CHP,ER1180,CHPER1180,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,0.5,100,53,1.18,0.7,6,100,0,0.2,0.021,0,0,0
398,Chiapas,CHP,ER1181,CHPER1181,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.57142857,0,28.57142857,1,0,0.021,0,0,0,0.3,100,63,1,0.8,2,100,0,0.5,0.021,0,0,0
399,Chiapas,CHP,ER1182,CHPER1182,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.57142857,0,28.57142857,1,0,0.021,0,0,0,0.6,100,63,1.35,0.8,3,100,0,0.2,0.021,0,0,0
400,Chiapas,CHP,ER1183,CHPER1183,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,0.5,100,88,1,0.8,0,100,0,0.3,0.021,0,0,0
401,Chiapas,CHP,ER1184,CHPER1184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,1.5,100,57,1.18,1.8,6,100,0,0.3,0.021,0,0,0
402,Chiapas,CHP,ER1185,CHPER1185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,1.5,100,63,1.4,1.7,6,100,0,0.2,0.021,0,0,0
403,Chiapas,CHP,ER1186,CHPER1186,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.57142857,0,28.57142857,1,1,0.021,1,0,0,1.4,40,67,0.8,1.35,9,60,0.147,-0.05,0.021,0,20,0.147
