Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
6141,MEXER1859,46.66666667,14.28571429,32.38095238,1,63,1.29,6,0,0.016,0,0,0,0
6142,MEXER1861,6.666666667,21.42857143,-14.76190476,0,50,3.48,4,0,0.007,0,1000,0,0
6143,MEXER1862,26.66666667,21.42857143,5.238095238,1,60,3,6,2.4,0.045,0,1000,0,0
6144,MEXER1864,20,7.142857143,12.85714286,1,76,1,2,-4,0.045,0,2900,0,0
6145,MEXER1865,26.66666667,21.42857143,5.238095238,1,43,3,6,1,0.052,0,-720,0,0
6146,MEXER1867,20,14.28571429,5.714285714,1,37,1.5,12,1.25,0.052,0,-1400,0,0
6147,MEXER1869,20,14.28571429,5.714285714,1,80,1.5,0,-0.5,0.022,0,-200,0,0
6148,MEXER1871,20,0,20,1,52,2,6,1,0.03,0,400,0,0
6149,MEXER1872,6.666666667,0,6.666666667,1,74,0.75,2,0,0.022,0,-1600,0,0
6150,MEXER1873,26.66666667,0,26.66666667,1,74,2.75,2,0,0.063,0,600,0,0
6151,MEXER1874,33.33333333,0,33.33333333,1,37,1,0,-1.8,0.045,-1,900,80,0
6152,MEXER1875,26.66666667,0,26.66666667,1,54,1.19,15,0,0.03,0,6500,-20,0
6153,MEXER1878,26.66666667,0,26.66666667,1,61,1,5,-5.6,0.038,0,-1500,0,0.045
6154,MEXER1879,26.66666667,0,26.66666667,1,56,1.5,13,0.2,0.03,0,2600,0,0
6155,MEXER1881,6.666666667,0,6.666666667,1,75,0.39,6,0.1,0.022,0,1000,0,0
6156,MEXER1883,13.33333333,0,13.33333333,1,40,1.08,12,1,0.022,1,1200,-50,0
6157,MEXER1885,26.66666667,0,26.66666667,1,47,2,3,1.75,0.038,0,-500,-50,0.022
6158,MEXER1886,6.666666667,0,6.666666667,1,78,0.5,6,1,0.022,0,-200,0,0
6159,MEXER1887,33.33333333,0,33.33333333,1,39,2,12,1.5,0.03,0,1300,0,0
6160,MEXER1888,6.666666667,7.142857143,-0.476190476,0,59,2.55,0,1.5,0.022,0,400,0,0
6161,MEXER1889,6.666666667,7.142857143,-0.476190476,0,47,1,9,0.75,0.022,0,-200,0,0
6162,MEXER1891,6.666666667,0,6.666666667,1,57,0.84,3,0.5,0.022,0,1000,0,0
6163,MEXER1892,20,0,20,1,64,1,5,1.3,0.03,0,300,0,0
6164,MEXER1893,6.666666667,0,6.666666667,1,66,0.3,6,0.15,0.022,0,-200,0,0
6165,MEXER1894,40,0,40,1,52,1.5,0,-1.1,0.045,-1,100,60,0
6166,MEXER1896,6.666666667,0,6.666666667,1,80,2.51,1,1,0.022,1,4200,-50,0
6167,MEXER1897,33.33333333,0,33.33333333,1,60,2,6,1.5,0.067,1,3500,-20,0
6168,MEXER1898,33.33333333,0,33.33333333,1,55,0.63,0,1.5,0.045,1,-1200,-40,0
6169,MEXER1900,20,0,20,1,47,2.79,6,2.5,0.022,0,800,50,0
6170,MEXER1903,26.66666667,0,26.66666667,1,85,2,3,-1,0.023,0,-100,0,0
6171,MEXER1905,6.666666667,0,6.666666667,1,73,1,1,0.2,0.022,0,-300,75,0
6172,MEXER1906,26.66666667,0,26.66666667,1,73,1.66,0,1,0.045,0,-300,0,0
6173,MEXER1907,6.666666667,0,6.666666667,1,79,0.48,1,-0.1,0.022,0,0,0,0
6174,MEXER1908,26.66666667,0,26.66666667,1,79,0.75,0,1,0.045,0,300,0,0
6175,MEXER1909,6.666666667,0,6.666666667,1,82,1,6,-0.5,0.022,0,500,0,0
6176,MEXER1910,13.33333333,0,13.33333333,1,68,1.04,6,0.5,0.022,0,-1700,0,0
6177,MEXER1911,26.66666667,0,26.66666667,1,61,2,0,-0.5,0.023,0,750,0,0
6178,MEXER1912,6.666666667,0,6.666666667,1,83,1.13,6,0.3,0.022,0,600,0,0
6179,MEXER1913,6.666666667,0,6.666666667,1,78,1.16,6,0.3,0.022,0,400,0,0
6180,MEXER1914,13.33333333,0,13.33333333,1,63,0.59,9,-1,0.022,1,6500,-100,0
6181,MEXER1915,26.66666667,0,26.66666667,1,78,2,0,-1.5,0.045,1,-200,0,-0.027
6182,MEXER1916,26.66666667,0,26.66666667,1,57,1,5,0.5,0.023,1,0,0,0
6183,MEXER1917,6.666666667,0,6.666666667,1,75,0.75,6,1.7,0.022,1,1000,-90,0
6184,MEXER1919,20,0,20,1,68,0.5,3,0.5,0.022,0,200,0,0
6185,MEXER1921,6.666666667,0,6.666666667,1,88,3.33,0,4,0.022,0,300,0,0
6186,MEXER1922,6.666666667,0,6.666666667,1,57,0.44,6,0,0.022,0,500,0,0
6187,MEXER1923,6.666666667,0,6.666666667,1,77,2.54,2,3.2,0.022,2,-500,-50,0
6188,MEXER1925,13.33333333,28.57142857,-15.23809524,0,43,2.9,6,2.5,0.022,0,1500,53,0
6189,MEXER1926,26.66666667,28.57142857,-1.904761905,0,66,1,0,1,0.045,1,1500,-50,0
6190,MEXER1927,26.66666667,21.42857143,5.238095238,1,76,1,0,0.5,0.038,0,-800,0,0
6191,MEXER1930,40,0,40,1,71,0.47,3,1.5,0.045,0,-200,0,0
6192,MEXER1931,6.666666667,14.28571429,-7.619047619,0,51,0.27,9,0.1,0.022,0,-200,0,0
6193,MEXER1932,20,7.142857143,12.85714286,1,74,1.25,0,1.5,0.038,0,0,0,0
6194,MEXER1933,20,21.42857143,-1.428571429,0,71,1.17,0,1,0.038,0,100,0,0
6195,MEXER1936,13.33333333,14.28571429,-0.952380952,0,69,0.5,0,1.5,0.03,0,-1800,0,0
